iter	Passed	Remaining
0	1	194
1	2	140
2	3	125
3	4	112
4	5	107
5	6	104
6	7	101
7	8	100
8	9	98
9	10	96
10	11	94
11	12	93
12	13	91
13	14	90
14	15	88
15	16	87
16	17	86
17	18	85
18	19	83
19	20	82
20	21	81
21	22	79
22	23	78
23	24	78
24	25	77
25	26	76
26	28	75
27	29	74
28	29	73
29	31	72
30	31	71
31	32	69
32	33	68
33	34	67
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	55	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	94	2
97	95	1
98	96	0
99	97	0
